Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Lane Thomas","CLE","RF",6,,,,,0,0,0,,0,,,,,,,,0,0,-0.15589059694258356,"Lane Thomas",16939,657041
"Cooper Hummel","BAL","RF",2,,,,,0,0,0,,0,,,,,,,,0,0,-0.1650839065271748,"Cooper Hummel",19458,669450
"Joey Loperfido","TOR","RF",55,,,,,-1,0,-2,,-3,,,,,,,,0,0,-0.17681480509884567,"Joey Loperfido",29630,694388
"Santiago Espinal","CIN","RF",39,,,,,0,0,0,,0,,,,,,,,0,0,-0.20147313667060446,"Santiago Espinal",19997,669289
"Taylor Trammell","HOU","RF",10.1,,,,,0,0,0,,0,,,,,,,,0,0,-0.2139620899393881,"Taylor Trammell",19960,666211
"Jeremiah Jackson","BAL","RF",250,,,,,0,0,-2,,-2,,,,,,,,-2,1,-0.24672367465975764,"Jeremiah Jackson",22239,669236
"Ryan Vilade","STL","RF",29,,,,,0,0,1,,1,,,,,,,,0,0,-0.251503404213083,"Ryan Vilade",22165,668723
"Starling Marte","NYM","RF",15,,,,,0,0,0,,0,,,,,,,,0,0,-0.2699676704339101,"Starling Marte",9241,516782
"Sam Hilliard","COL","RF",23,,,,,0,0,0,,0,,,,,,,,0,0,-0.3005425940769897,"Sam Hilliard",17954,656541
"Brandon Lockridge","- - -","RF",68,,,,,0,1,0,,1,,,,,,,,1,0,-0.3012607930254248,"Brandon Lockridge",21496,663604
"Tyler Black","MIL","RF",2.1,,,,,0,0,0,,0,,,,,,,,0,0,-0.3159220918648106,"Tyler Black",29949,672012
"James Outman","- - -","RF",62,,,,,0,0,0,,0,,,,,,,,0,0,-0.3262806865897851,"James Outman",24770,681546
"Ji Hwan Bae","PIT","RF",8,,,,,0,0,0,,0,,,,,,,,0,0,-0.3464455022026263,"Ji Hwan Bae",23818,678225
"Oscar Gonzalez","SDP","RF",24,,,,,0,1,0,,1,,,,,,,,0,0,-0.3485097724596089,"Oscar Gonzalez",20970,660757
"Jason Heyward","SDP","RF",16,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.3691927657130005,"Jason Heyward",4940,518792
"Mauricio Dubón","HOU","RF",18,,,,,0,0,1,,1,,,,,,,,0,0,-0.3914582883829718,"Mauricio Dubon",16530,643289
"Everson Pereira","TBR","RF",16,,,,,0,0,0,,0,,,,,,,,0,0,-0.41030968100656146,"Everson Pereira",23695,677592
"Victor Mesa Jr.","MIA","RF",42,,,,,-1,0,1,,0,,,,,,,,0,0,-0.43120495537011194,"Victor Mesa Jr.",25999,683748
"Myles Straw","TOR","RF",45,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.4352101833963232,"Myles Straw",17620,664702
"Rhylan Thomas","SEA","RF",19,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.4523801821349873,"Rhylan Thomas",31793,689041
"Manuel Margot","DET","RF",41.1,,,,,0,0,0,,0,,,,,,,,0,0,-0.45376181357369316,"Manuel Margot",14712,622534
"Alan Roden","- - -","RF",62,,,,,-1,0,-1,,-2,,,,,,,,0,0,-0.4546992394238554,"Alan Roden",31564,702176
"Jesús Sánchez","- - -","RF",723.2,,,,,2,3,2,,7,,,,,,,,1,2,-0.5121974544965662,"Jesus Sanchez",19913,660821
"Troy Johnston","MIA","RF",72,,,,,0,0,0,,0,,,,,,,,0,0,-0.5301451554752563,"Troy Johnston",26143,687859
"Tyrone Taylor","NYM","RF",4,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.5342309760787934,"Tyrone Taylor",13675,621438
"Dustin Harris","TEX","RF",15,,,,,0,0,0,,0,,,,,,,,0,-1,-0.5495426136158253,"Dustin Harris",25705,687957
"Justyn-Henry Malloy","DET","RF",81,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.565164878980414,"Justyn-Henry Malloy",29606,669234
"George Valera","CLE","RF",32,,,,,0,0,-2,,-2,,,,,,,,0,0,-0.5726607008802213,"George Valera",22541,671655
"Addison Barger","TOR","RF",413,,,,,5,2,-11,,-4,,,,,,,,-4,1,-0.57747822731206,"Addison Barger",24598,680718
"Tyler Fitzgerald","SFG","RF",21,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.5798771735376035,"Tyler Fitzgerald",26208,666149
"Tyler Wade","SDP","RF",10,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.6024969046639597,"Tyler Wade",15730,642180
"John Rave","KCR","RF",153,,,,,0,-1,4,,3,,,,,,,,0,0,-0.6126806893833321,"John Rave",26284,670231
"Will Robertson","- - -","RF",34,,,,,-1,0,0,,-1,,,,,,,,0,-1,-0.6301531298925247,"Will Robertson",25467,683770
"Richie Palacios","TBR","RF",8,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.6341148608788236,"Richie Palacios",24589,680700
"Travis Jankowski","- - -","RF",71,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.6512976022056858,"Travis Jankowski",13768,608671
"Luke Raley","SEA","RF",206.2,,,,,0,0,0,,0,,,,,,,,0,0,-0.6573344786013008,"Luke Raley",19354,670042
"Grant McCray","SFG","RF",58.1,,,,,1,0,-1,,0,,,,,,,,0,0,-0.6745166984758484,"Grant McCray",25690,687529
"Zach Dezenzo","HOU","RF",86,,,,,0,0,0,,0,,,,,,,,-1,0,-0.6750136314785082,"Zach Dezenzo",31562,701305
"Carson McCusker","MIN","RF",49,,,,,0,-1,-1,,-2,,,,,,,,-1,-1,-0.6826951735256888,"Carson McCusker",33098,676812
"Billy McKinney","TEX","RF",31,,,,,0,0,-1,,-1,,,,,,,,0,-1,-0.6985673200372766,"Billy McKinney",15654,641856
"Alexander Canario","PIT","RF",137.1,,,,,1,0,3,,4,,,,,,,,-1,0,-0.7126957475442676,"Alexander Canario",22842,672744
"Austin Slater","- - -","RF",165,,,,,0,0,0,,0,,,,,,,,0,0,-0.7255920933895783,"Austin Slater",16153,596103
"Bryce Johnson","SDP","RF",31,,,,,0,0,0,,0,,,,,,,,0,-1,-0.7460311478945494,"Bryce Johnson",20002,669369
"Tommy Pham","PIT","RF",25,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-0.9527847872319325,"Tommy Pham",2967,502054
"Jack Suwinski","PIT","RF",113.1,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.9689101560375089,"Jack Suwinski",22244,669261
"Jahmai Jones","DET","RF",42,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-0.993313030563648,"Jahmai Jones",18872,663330
"JJ Bleday","ATH","RF",176,,,,,0,-1,0,,-1,,,,,,,,-1,0,-0.9939172126917355,"JJ Bleday",26368,668709
"Nick Yorke","PIT","RF",23,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.0472360851227809,"Nick Yorke",27504,694377
"Dylan Crews","WSN","RF",601,,,,,-1,-3,7,,3,,,,,,,,3,1,-1.177739509355491,"Dylan Crews",33541,686611
"Drew Waters","KCR","RF",130.1,,,,,0,-1,0,,-1,,,,,,,,0,-1,-1.1807798239605483,"Drew Waters",20505,671221
"Angel Martínez","CLE","RF",12,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.189041667093269,"Angel Martinez",26540,682657
"Ronny Simon","PIT","RF",31.2,,,,,-1,-1,-1,,-3,,,,,,,,-1,-1,-1.202060548551342,"Ronny Simon",25346,682927
"Rece Hinds","CIN","RF",107.2,,,,,1,0,0,,1,,,,,,,,-2,-1,-1.2124789094230946,"Rece Hinds",27493,677956
"Miles Mastrobuoni","SEA","RF",72.1,,,,,-1,0,0,,-1,,,,,,,,0,-1,-1.2361264367533307,"Miles Mastrobuoni",20017,670156
"Lawrence Butler","ATH","RF",781,,,,,-4,-2,8,,2,,,,,,,,3,1,-1.239327001822656,"Lawrence Butler",22542,671732
"Chris Taylor","- - -","RF",79,,,,,0,0,0,,0,,,,,,,,-1,-1,-1.291523004014226,"Chris Taylor",13757,621035
"Noelvi Marte","CIN","RF",437.1,,,,,3,1,1,,5,,,,,,,,-1,0,-1.3353673359194653,"Noelvi Marte",26517,682622
"Adolis García","TEX","RF",1124,,,,,4,0,12,,16,,,,,,,,1,2,-1.3609629257844338,"Adolis Garcia",19287,666969
"Zach McKinstry","DET","RF",200,,,,,0,0,-2,,-2,,,,,,,,0,-1,-1.4645149068350798,"Zach McKinstry",19392,656716
"Brooks Baldwin","CHW","RF",117.1,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.47616899652657,"Brooks Baldwin",31394,681460
"Colby Thomas","ATH","RF",134.2,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.5123616268653315,"Colby Thomas",31855,687515
"Matthew Lugo","LAA","RF",39.2,,,,,-1,-1,-1,,-3,,,,,,,,-1,-1,-1.5762730333509458,"Matthew Lugo",25980,683090
"Gustavo Campero","LAA","RF",137.2,,,,,-1,0,-3,,-4,,,,,,,,-2,-1,-1.6228618096242207,"Gustavo Campero",22707,672569
"Robert Hassell III","WSN","RF",68,,,,,-1,0,-1,,-2,,,,,,,,-2,-1,-1.6302456206110163,"Robert Hassell III",27482,690987
"Willi Castro","- - -","RF",256,,,,,-1,-1,1,,-1,,,,,,,,0,-1,-1.6318674688598467,"Willi Castro",17338,650489
