Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Johnathan Rodríguez","CLE","LF",3,,,,,0,0,0,,0,,,,,,,,,,-0.015432096,"Johnathan Rodriguez",22530,671286
"Drew Gilbert","SFG","LF",3,,,,,0,0,0,,0,,,,,,,,,,-0.015432096,"Drew Gilbert",31545,687551
"Greg Allen","BAL","LF",7,,,,,0,0,0,,0,,,,,,,,0,0,-0.01620235882353199,"Greg Allen",16623,656185
"Isaac Collins","MIL","LF",819.1,,,,,-3,-2,4,,-1,,,,,,,,5,2,-0.017424578684579473,"Isaac Collins",25477,686555
"Josh Rojas","CHW","LF",24,,,,,0,0,0,,0,,,,,,,,0,0,-0.01790516270641021,"Josh Rojas",19734,668942
"Kevin Alcántara","CHC","LF",7,,,,,0,0,0,,0,,,,,,,,0,0,-0.022109783852453026,"Kevin Alcantara",25971,682634
"Travis Jankowski","- - -","LF",35,,,,,0,0,0,,0,,,,,,,,0,0,-0.0278538279030707,"Travis Jankowski",13768,608671
"Nicky Lopez","LAA","LF",2,,,,,0,0,0,,0,,,,,,,,0,0,-0.02926186135957079,"Nicky Lopez",19339,670032
"Tyler Black","MIL","LF",6,,,,,0,0,0,,0,,,,,,,,,,-0.030864192,"Tyler Black",29949,672012
"Jared Young","NYM","LF",3,,,,,0,0,1,,1,,,,,,,,0,0,-0.03169901626023121,"Jared Young",20404,676724
"Kristian Campbell","BOS","LF",12,,,,,0,0,0,,0,,,,,,,,0,0,-0.049436546508363106,"Kristian Campbell",33644,692225
"Dairon Blanco","KCR","LF",11,,,,,0,0,0,,0,,,,,,,,0,0,-0.06498351957837083,"Dairon Blanco",19779,680118
"Justyn-Henry Malloy","DET","LF",6,,,,,0,0,0,,0,,,,,,,,0,0,-0.06692331137076053,"Justyn-Henry Malloy",29606,669234
"Shay Whitcomb","HOU","LF",2,,,,,0,0,0,,0,,,,,,,,0,0,-0.09479327185643237,"Shay Whitcomb",27789,694376
"Tirso Ornelas","SDP","LF",31,,,,,0,0,0,,0,,,,,,,,0,0,-0.1067490874455919,"Tirso Ornelas",22566,672359
"Ryan O'Hearn","BAL","LF",16,,,,,0,0,0,,0,,,,,,,,0,0,-0.11958361790910732,"Ryan O'Hearn",16442,656811
"Nick Martini","COL","LF",12,,,,,0,0,0,,0,,,,,,,,0,0,-0.12044608482219901,"Nick Martini",12005,605361
"Corey Julks","CHW","LF",32,,,,,0,0,1,,1,,,,,,,,0,0,-0.12765123055799726,"Corey Julks",20311,667452
"Luke Raley","SEA","LF",10,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.15165743007439436,"Luke Raley",19354,670042
"Will Robertson","- - -","LF",138.2,,,,,0,1,-1,,0,,,,,,,,1,0,-0.1672777380475715,"Will Robertson",25467,683770
"Jose Iglesias","SDP","LF",2,,,,,-1,0,1,,0,,,,,,,,0,0,-0.16957065308882574,"Jose Iglesias",10231,578428
"Edmundo Sosa","PHI","LF",10,,,,,0,2,-1,,1,,,,,,,,0,0,-0.17470841113951832,"Edmundo Sosa",17022,624641
"Chris Taylor","- - -","LF",79,,,,,0,0,0,,0,,,,,,,,0,0,-0.17805130547897044,"Chris Taylor",13757,621035
"Tyler O'Neill","BAL","LF",27,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.18189797182801926,"Tyler O'Neill",15711,641933
"Dane Myers","MIA","LF",60,,,,,0,0,0,,0,,,,,,,,0,0,-0.21090140601828583,"Dane Myers",22054,667472
"Jesse Winker","NYM","LF",5,,,,,0,0,0,,0,,,,,,,,0,0,-0.21617563747531215,"Jesse Winker",13590,608385
"Kevin Pillar","TEX","LF",20,,,,,0,0,0,,0,,,,,,,,0,0,-0.22734563248321918,"Kevin Pillar",12434,607680
"Nathan Lukes","TOR","LF",249,,,,,3,1,0,,4,,,,,,,,-2,0,-0.25859684788663717,"Nathan Lukes",18123,664770
"Sean Bouchard","COL","LF",17,,,,,-1,0,0,,-1,,,,,,,,0,0,-0.2587987019949187,"Sean Bouchard",21270,656248
"Connor Joe","- - -","LF",52.2,,,,,0,0,0,,0,,,,,,,,0,0,-0.26275361182611423,"Connor Joe",16572,656582
"Tyler Tolbert","KCR","LF",30,,,,,0,0,0,,0,,,,,,,,0,0,-0.2970680585938954,"Tyler Tolbert",25779,686475
"CJ Alexander","ATH","LF",3,,,,,0,0,0,,0,,,,,,,,0,0,-0.3015707131943732,"CJ Alexander",20557,680769
"Matt Vierling","DET","LF",45,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.3062325915160401,"Matt Vierling",21558,663837
"Cooper Hummel","HOU","LF",185.1,,,,,-2,0,-2,,-4,,,,,,,,-1,0,-0.31677231707627906,"Cooper Hummel",19458,669450
"Seiya Suzuki","CHC","LF",123.2,,,,,-1,-1,1,,-1,,,,,,,,0,0,-0.32936656397334074,"Seiya Suzuki",30116,673548
"Brent Rooker","ATH","LF",54,,,,,-1,0,-1,,-2,,,,,,,,0,0,-0.33448704175268085,"Brent Rooker",19627,667670
"Ronny Simon","- - -","LF",52,,,,,-1,-1,0,,-2,,,,,,,,0,0,-0.3377401991109191,"Ronny Simon",25346,682927
"Esteury Ruiz","LAD","LF",42.1,,,,,-1,-1,0,,-2,,,,,,,,0,0,-0.36540037608657927,"Esteury Ruiz",21780,665923
"Ji Hwan Bae","PIT","LF",32,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.38911970102904697,"Ji Hwan Bae",23818,678225
"Drew Avans","- - -","LF",36,,,,,1,0,-2,,-1,,,,,,,,-1,0,-0.39809067186155134,"Drew Avans",25183,682183
"Enrique Hernández","LAD","LF",72.1,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.39993136082119135,"Enrique Hernandez",10472,571771
"Trenton Brooks","SDP","LF",5,,,,,0,0,0,,0,,,,,,,,0,0,-0.40724081083599256,"Trenton Brooks",19384,670092
"Wenceel Pérez","DET","LF",9,,,,,0,0,0,,0,,,,,,,,-1,0,-0.4359163098360626,"Wenceel Perez",22857,672761
"José Caballero","- - -","LF",31,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.44559537834440344,"Jose Caballero",23401,676609
"Troy Johnston","MIA","LF",66,,,,,0,0,1,,1,,,,,,,,-1,0,-0.44893361456355885,"Troy Johnston",26143,687859
"Masataka Yoshida","BOS","LF",33,,,,,0,0,0,,0,,,,,,,,0,0,-0.45124613714046746,"Masataka Yoshida",31837,807799
"James Outman","MIN","LF",92,,,,,0,-1,-1,,-2,,,,,,,,0,0,-0.5319756686066179,"James Outman",24770,681546
"Colby Thomas","ATH","LF",41,,,,,1,0,-1,,0,,,,,,,,-1,0,-0.5585602981069187,"Colby Thomas",31855,687515
"Jason Heyward","SDP","LF",189.2,,,,,0,0,1,,1,,,,,,,,0,0,-0.5608180249179073,"Jason Heyward",4940,518792
"Ezequiel Duran","TEX","LF",20,,,,,0,0,-1,,-1,,,,,,,,0,-1,-0.5861836597078014,"Ezequiel Duran",23733,677649
"Kyle Stowers","MIA","LF",541.2,,,,,2,0,0,,2,,,,,,,,-1,1,-0.6059311119294759,"Kyle Stowers",26151,669065
"Stuart Fairchild","ATL","LF",19,,,,,0,0,0,,0,,,,,,,,0,-1,-0.6129144277766703,"Stuart Fairchild",20321,656413
"Tim Tawa","ARI","LF",61,,,,,0,0,0,,0,,,,,,,,0,0,-0.6361101743249642,"Tim Tawa",29571,694374
"Bryan De La Cruz","ATL","LF",90,,,,,1,0,0,,1,,,,,,,,0,0,-0.6394823775785905,"Bryan De La Cruz",19600,650559
"Javier Sanoja","MIA","LF",156.1,,,,,1,0,-1,,0,,,,,,,,0,0,-0.6530617936716201,"Javier Sanoja",28253,691594
"Tyler Callihan","CIN","LF",16.2,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-0.6713629384554612,"Tyler Callihan",27497,682997
"Korey Lee","CHW","LF",2,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-0.6786384057915841,"Korey Lee",25543,686676
"Jake Fraley","- - -","LF",40.2,,,,,-1,0,-1,,-2,,,,,,,,0,-1,-0.6915440423582401,"Jake Fraley",19260,641584
"Jacob Melton","HOU","LF",58,,,,,0,0,1,,1,,,,,,,,-1,-1,-0.7020821927825529,"Jacob Melton",31661,689200
"Colton Cowser","BAL","LF",361,,,,,0,2,5,,7,,,,,,,,0,0,-0.7293824800365698,"Colton Cowser",29591,681297
"Max Schuemann","ATH","LF",37,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.7457537194872378,"Max Schuemann",24488,680474
"Robert Hassell III","WSN","LF",28,,,,,0,0,0,,0,,,,,,,,-1,-1,-0.8191569033797333,"Robert Hassell III",27482,690987
"Jake McCarthy","ARI","LF",289.1,,,,,-2,-1,2,,-1,,,,,,,,2,0,-0.8544628783721728,"Jake McCarthy",21622,664983
"Giancarlo Stanton","NYY","LF",35,,,,,0,0,-2,,-2,,,,,,,,-1,-1,-0.8642094255877464,"Giancarlo Stanton",4949,519317
"Josh Smith","TEX","LF",65,,,,,0,0,-1,,-1,,,,,,,,0,-1,-0.8688600511990399,"Josh Smith",26396,669701
"Nolan Jones","CLE","LF",77,,,,,0,0,0,,0,,,,,,,,0,-1,-0.8977279579198361,"Nolan Jones",20529,666134
"Jake Bauers","MIL","LF",152.1,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-0.9271397442779293,"Jake Bauers",15194,641343
"Alejandro Osuna","TEX","LF",280,,,,,2,0,1,,3,,,,,,,,-1,0,-0.9440696916290128,"Alejandro Osuna",27915,696030
"Austin Hays","CIN","LF",507.1,,,,,-1,-1,0,,-2,,,,,,,,1,0,-0.9476309705363573,"Austin Hays",19363,669720
"Kerry Carpenter","DET","LF",188,,,,,-1,1,1,,1,,,,,,,,0,0,-0.9822550792623815,"Kerry Carpenter",25961,681481
